Date,btc_price_usd,eth_price_usd,bnb_price_usd,sol_price_usd,xrp_price_usd,btc_daily_return,eth_daily_return,bnb_daily_return,sol_daily_return,xrp_daily_return,btc_price_indexed,eth_price_indexed,bnb_price_indexed,sol_price_indexed,xrp_price_indexed,month,quarter,year,btc_return_direction,eth_return_direction,bnb_return_direction,sol_return_direction,xrp_return_direction
2025-04-03,82526.4221526433,1795.761850567479,589.8692678191657,118.08550586157004,2.030360837075233,-0.0318071584240119,-0.0584140208149165,-0.0346286860051527,-0.0687772386764757,-0.0516724284939655,0.31771301099465205,0.09660930333100813,0.04809732317703322,0.23757252711460056,0.34794306418865756,4,2025Q2,2025,Down,Down,Down,Down,Down
2025-04-04,83163.98757387721,1818.2844199542053,592.4642522121785,117.1929518844708,2.0641704630367608,0.007725591448211,0.0125420691945365,0.0043992534186547,-0.007558539641144,0.0166520282228408,0.3280096404649885,0.1033167116668549,0.051519355913242845,0.2323164546749656,0.3623904988971519,4,2025Q2,2025,Up,Up,Up,Down,Up
2025-04-05,83852.00765399594,1814.4807753449504,597.7592047746326,122.71307466195722,2.1277037304012105,0.0082730530388233,-0.0020918864878963,0.0089371680108689,0.0471028563469257,0.0307790797815123,0.3391211085546837,0.10218395469225541,0.05850186457656384,0.2648233572697445,0.3895393568321578,4,2025Q2,2025,Up,Down,Up,Up,Up
2025-04-06,83595.88550177493,1809.935827172196,594.0888077893536,120.16838205477264,2.148561695180789,-0.0030544546205484,-0.0025048202408706,-0.0061402600845984,-0.0207369313677009,0.0098030400010837,0.33498475671888156,0.10083043135588639,0.053661674141380865,0.24983816979297793,0.398452323945368,4,2025Q2,2025,Down,Down,Down,Down,Up
2025-04-07,78211.48358199988,1574.6321611455576,554.4379559214581,105.76515013740064,1.9232068608073247,-0.0644098915569322,-0.1300066347624444,-0.0667422973602871,-0.1198587487914003,-0.1048863688107878,0.2480271055652269,0.03075504413596547,0.0013736860225000871,0.16502040832985013,0.3021543270506674,4,2025Q2,2025,Down,Down,Down,Down,Down
2025-04-08,79179.29226757778,1555.909812570873,554.1601019762941,106.7967654056102,1.8972731944488423,0.0123742530029264,-0.0118899823315331,-0.0005011452448312,0.0097538297527057,-0.0134845953843968,0.2636571367772126,0.025179373139454852,0.0010072771536081026,0.17109538499083027,0.2910724253492881,4,2025Q2,2025,Up,Down,Down,Up,Down
2025-04-09,76329.090356324,1471.3608854365525,553.3962669418149,105.48654682895577,1.791941720267648,-0.035996809640857,-0.0543405064041715,-0.001378365262593,-0.0122683357653978,-0.0555172942354215,0.2176266087428862,0.0,0.0,0.16337976898625847,0.24606247470050244,4,2025Q2,2025,Down,Down,Down,Down,Down
2025-04-10,82622.17029546302,1662.5331604641576,582.2597810033054,118.96288063114292,2.050442640035333,0.0824466780589325,0.1299288821116679,0.0521570451152415,0.1277540521260853,0.1442574369712623,0.31925933567954395,0.05693269222909621,0.038062614274835864,0.24273921222710254,0.3565243640062017,4,2025Q2,2025,Up,Up,Up,Up,Up
2025-04-11,79596.35732250768,1523.928624242526,577.2921769307156,112.88616853404648,1.96981883924698,-0.0366222886924272,-0.0833694867072215,-0.0085315940318425,-0.0510807410249077,-0.0393201932178722,0.2703927033443699,0.015655109477500564,0.03151178344799078,0.20695466608576182,0.32207242717715096,4,2025Q2,2025,Down,Down,Down,Down,Down
2025-04-12,83439.28818043756,1568.131690125936,586.1297244063287,121.39249540173658,2.0237864771088336,0.0482802352670379,0.029005994887314,0.0153086215763387,0.0753531365104716,0.0273972594771629,0.3324557227716869,0.028819149844542567,0.0431659486332551,0.2570467292650636,0.34513372709416335,4,2025Q2,2025,Up,Up,Up,Up,Up
2025-04-13,85305.09728392666,1645.8625733156498,596.9496743252538,132.15438529607428,2.156688589695265,0.0223612778126087,0.0495691042271273,0.0184599918215788,0.0886536672528419,0.065670026996274,0.36258838737546456,0.05196805283634288,0.057434328407100985,0.3204213534596124,0.40192508575628894,4,2025Q2,2025,Up,Up,Up,Up,Up
2025-04-14,83600.82010054543,1595.4227460001084,583.6441112439634,128.2347432835372,2.118179146058531,-0.019978608988731,-0.0306464392187547,-0.0222892542764681,-0.0296595682674899,-0.0178558201776247,0.3350644500859188,0.036946653084575475,0.03988814486916689,0.2973393630322248,0.385469338116985,4,2025Q2,2025,Down,Down,Down,Down,Down
2025-04-15,84523.4524914945,1621.543195596693,584.5130373558429,129.42181202590046,2.127444298086899,0.0110361643562759,0.0163721180872413,0.0014887944470605,0.0092569978460406,0.0043741116258311,0.3499648878300915,0.044725540046888584,0.04103400671257738,0.304329774212695,0.3894284969419432,4,2025Q2,2025,Up,Up,Up,Up,Up
2025-04-16,83656.49248858042,1587.82222440214,579.7117342988385,126.3038818388089,2.087166740701441,-0.010257034909942,-0.0207956046352155,-0.0082141932688517,-0.0240912264964083,-0.0189323675462043,0.3359635546048177,0.034683154589015615,0.03470247875357617,0.28596890490332477,0.3722172038857528,4,2025Q2,2025,Down,Down,Down,Down,Down
2025-04-17,84105.77942167096,1577.7073516760115,582.9884895445316,131.4761427933663,2.08351984341555,0.0053706164306597,-0.0063702803567552,0.0056523873018654,0.0409509262839469,-0.0017472956112095,0.34321950187207045,0.031670861432123526,0.039023569758786326,0.31642731856946704,0.3706588219478264,4,2025Q2,2025,Up,Down,Up,Up,Down
